count151,count152,count153,elev,route,forest,surveys
0,0,0,450,6.4,3,3
0,0,0,450,5.5,21,3
0,0,0,1050,4.3,32,3
0,0,0,950,4.5,9,3
0,1,1,1150,5.4,35,3
0,0,0,550,3.6,2,3
0,0,0,750,3.9,6,3
0,1,0,650,6.1,60,3
0,0,0,550,5.8,5,3
0,0,0,550,4.5,13,3
0,0,0,1150,3.8,50,3
0,0,0,750,7.7,57,3
1,0,0,1250,1.9,84,3
0,0,0,750,7.9,15,3
0,0,0,450,4.4,17,3
0,1,1,1050,6,58,3
0,0,0,750,6.2,26,3
1,1,0,1250,6.1,32,3
0,0,0,1250,4.5,66,3
0,0,0,350,6.2,45,3
0,0,0,750,4.1,44,3
0,0,0,750,4.5,9,3
0,0,0,550,6.9,31,3
0,0,0,350,4.7,8,3
0,0,0,1350,3.7,78,3
0,0,0,550,5.7,37,3
0,0,0,1150,4,18,3
0,0,0,1450,6.6,54,3
0,0,0,950,4.3,6,3
0,0,0,650,4.7,3,3
0,0,0,550,4.9,27,3
0,0,0,850,5.3,56,3
0,0,0,1250,5.6,66,3
0,0,1,450,6.7,5,3
0,0,0,1250,4,51,3
0,0,0,1150,5.1,43,3
0,0,0,750,6.5,40,3
0,0,0,550,5.2,5,3
0,0,0,450,5.5,3,3
0,1,2,1250,5.6,52,3
1,1,1,950,4.5,38,3
0,0,0,550,3.9,49,3
0,0,0,1850,5.3,15,2
0,0,0,1950,4.8,62,3
0,0,0,1050,3.6,82,3
0,0,0,2050,4.7,0,2
0,0,0,1250,6,29,3
0,0,0,750,6.3,5,3
0,0,0,2250,3.6,0,2
0,0,0,1750,4.1,58,3
0,0,0,2250,4.1,0,2
0,0,0,1150,2.6,34,3
0,0,0,1150,3.3,98,3
0,0,0,650,4,33,3
0,0,0,550,6.9,53,3
0,0,0,1850,6.6,17,3
0,0,0,950,5.3,16,3
0,0,0,550,4.3,60,3
0,0,0,450,6.1,2,3
0,0,0,1450,5.5,52,3
0,0,1,850,6.9,58,3
0,0,0,1450,6.4,50,3
0,0,0,1850,4.5,12,2
0,0,0,1450,4.5,29,3
0,0,0,550,4.9,16,3
0,0,0,550,3.2,83,3
0,0,0,750,4,79,3
0,0,0,1750,6,51,3
4,5,2,650,6.5,8,3
0,0,0,950,4.2,45,3
0,0,0,550,6.3,5,3
0,0,0,750,4.8,64,3
4,3,4,350,3.4,14,3
0,0,0,2750,1.9,0,2
0,0,0,2450,4.3,0,2
0,0,0,650,5.3,0,3
0,0,0,650,5.3,30,3
0,0,0,750,6.9,17,3
0,0,0,450,4.6,65,3
0,0,2,350,6.5,30,3
0,0,0,250,4.2,0,3
0,0,0,1950,6.2,5,2
0,0,0,950,9,55,3
0,0,0,2350,7.1,0,2
0,0,0,2650,2.3,0,2
0,0,0,2450,4.1,0,2
0,0,0,1350,5.8,66,3
0,0,0,750,5.7,8,3
0,0,0,450,7.6,75,3
0,0,0,450,8.4,68,3
0,1,1,1950,4.6,72,3
0,0,0,1550,5.3,95,3
0,0,0,1850,5.7,57,3
0,0,0,1250,4,64,3
0,1,1,1350,4.9,44,3
0,0,0,850,4.8,44,3
1,0,1,750,5.6,34,3
0,0,0,650,6.4,21,3
0,0,0,450,5.9,23,3
0,0,0,2350,6.2,1,2
3,2,2,1650,5,43,3
0,0,0,2050,4.1,30,3
0,0,0,750,4.8,26,3
