count151,count152,count153,elev,route,forest,surveys
29,32,48,550,5.1,67,3
0,0,0,250,5.3,13,3
10,4,7,950,5.1,72,3
8,9,9,350,5,42,3
8,3,4,550,5.3,72,3
12,13,10,1350,3.7,79,3
9,8,3,250,5.5,47,3
4,7,6,2050,4.2,26,3
18,16,17,1150,6,56,3
0,0,0,1450,5.4,20,3
0,0,0,2050,3.2,0,2
2,4,NA,1950,5.4,18,2
5,6,2,1650,5,33,3
4,0,4,1550,3.3,21,3
5,5,7,1350,4,39,3
12,11,6,1150,5.3,69,3
20,7,12,850,6,42,3
10,6,8,650,5.5,19,3
9,25,30,550,5.8,98,3
4,0,4,1450,3.5,52,3
11,11,22,1350,3.8,90,3
6,5,3,1250,3.9,10,3
37,3,10,850,4.1,50,3
10,14,10,550,5.3,54,3
0,0,0,450,5.1,9,3
11,8,11,1250,5,51,3
0,1,NA,2050,4.3,0,2
21,2,3,750,5.2,35,3
9,21,23,1850,3.8,57,3
0,0,0,1950,5.5,2,2
10,10,8,950,4.9,42,3
16,4,6,550,5.8,18,3
0,2,NA,1850,4.6,12,2
4,0,7,1650,3.4,34,3
11,11,12,1350,4.5,68,3
5,9,7,1350,4.7,63,3
6,19,18,1250,3.2,48,3
6,9,11,1850,3.5,33,3
31,16,14,1150,5,90,3
13,6,5,450,5.4,33,3
0,0,0,1950,5.2,0,2
9,5,2,1050,4,37,3
2,0,2,450,3.4,8,3
5,3,3,2050,4.7,36,3
15,14,17,1850,4.6,66,3
4,3,2,950,4.6,56,3
0,0,0,450,5.9,0,3
9,9,9,950,5,41,3
8,9,2,1050,7.7,63,3
0,0,0,1950,5.5,0,2
7,5,14,1350,4.7,35,3
16,6,12,550,7.5,14,3
0,1,0,450,5.4,1,3
7,3,1,1450,4.5,27,3
0,0,0,2250,5.3,0,2
0,0,0,1950,4.3,6,2
0,0,0,2350,4.2,0,2
0,0,0,2050,3.9,1,2
22,15,17,1150,4.9,58,3
0,0,0,2050,4.5,9,2
0,0,0,2250,4.7,14,2
1,1,NA,2350,4.7,2,2
0,0,0,2250,4.2,0,2
2,3,2,2150,6.3,30,3
0,0,0,2250,5.2,0,2
0,0,0,2350,2.9,0,2
11,20,17,1750,9.4,93,3
9,7,19,1850,5.5,82,3
18,13,17,1850,5.4,81,3
42,38,46,1850,4.7,82,3
0,0,0,2450,4.4,0,2
3,5,8,1850,5.6,69,3
12,14,13,1850,6.2,53,3
