count151,count152,count153,elev,route,forest,surveys
24,18,10,550,5.1,67,3
13,15,2,250,5.3,13,3
24,17,10,950,5.1,72,3
5,7,6,350,5,42,3
17,10,9,550,5.3,72,3
0,1,0,1350,3.7,79,3
17,15,11,250,5.5,47,3
0,0,0,2050,4.2,26,3
8,7,8,1150,6,56,3
0,0,0,1450,5.4,20,3
0,0,0,2050,3.2,0,2
0,0,0,1950,5.4,18,2
3,3,2,1650,5,33,3
0,0,0,1550,3.3,21,3
6,8,5,1350,4,39,3
2,2,0,1150,5.3,69,3
18,11,14,850,6,42,3
25,25,26,650,5.5,19,3
20,31,28,550,5.8,98,3
3,2,0,1450,3.5,52,3
0,0,0,1350,3.8,90,3
12,12,10,1250,3.9,10,3
23,33,17,850,4.1,50,3
16,11,11,550,5.3,54,3
14,15,15,450,5.1,9,3
3,2,4,1250,5,51,3
0,0,0,2050,4.3,0,2
37,25,22,750,5.2,35,3
0,0,0,1850,3.8,57,3
0,0,0,1950,5.5,2,2
6,9,5,950,4.9,42,3
20,18,8,550,5.8,18,3
1,1,NA,1850,4.6,12,2
1,3,5,1650,3.4,34,3
7,2,9,1350,4.5,68,3
4,4,3,1350,4.7,63,3
0,0,0,1250,3.2,48,3
0,1,2,1850,3.5,33,3
4,2,3,1150,5,90,3
28,15,13,450,5.4,33,3
0,0,0,1950,5.2,0,2
7,5,5,1050,4,37,3
13,4,5,450,3.4,8,3
0,0,0,2050,4.7,36,3
2,2,0,1850,4.6,66,3
11,11,5,950,4.6,56,3
2,3,2,450,5.9,0,3
11,5,3,950,5,41,3
26,19,13,1050,7.7,63,3
0,0,0,1950,5.5,0,2
4,2,5,1350,4.7,35,3
17,15,16,550,7.5,14,3
9,8,9,450,5.4,1,3
13,9,5,1450,4.5,27,3
0,0,0,2250,5.3,0,2
2,2,NA,1950,4.3,6,2
0,0,0,2350,4.2,0,2
0,0,0,2050,3.9,1,2
8,10,11,1150,4.9,58,3
3,9,NA,2050,4.5,9,2
0,0,0,2250,4.7,14,2
0,0,0,2350,4.7,2,2
0,0,0,2250,4.2,0,2
0,0,0,2150,6.3,30,3
0,0,0,2250,5.2,0,2
0,0,0,2350,2.9,0,2
0,0,0,1750,9.4,93,3
0,0,0,1850,5.5,82,3
0,0,0,1850,5.4,81,3
1,0,0,1850,4.7,82,3
0,0,0,2450,4.4,0,2
4,6,5,1850,5.6,69,3
6,2,4,1850,6.2,53,3
