count151,count152,count153,elev,route,forest,surveys
0,0,0,550,5.1,67,3
0,0,0,250,5.3,13,3
0,0,0,950,5.1,72,3
0,0,0,350,5,42,3
0,0,0,550,5.3,72,3
7,7,8,1350,3.7,79,3
0,0,0,250,5.5,47,3
11,9,12,2050,4.2,26,3
3,2,4,1150,6,56,3
4,2,1,1450,5.4,20,3
2,2,NA,2050,3.2,0,2
11,13,NA,1950,5.4,18,2
9,10,9,1650,5,33,3
9,6,0,1550,3.3,21,3
15,8,8,1350,4,39,3
8,9,7,1150,5.3,69,3
5,2,2,850,6,42,3
0,0,0,650,5.5,19,3
4,0,2,550,5.8,98,3
4,4,1,1450,3.5,52,3
2,7,9,1350,3.8,90,3
8,6,4,1250,3.9,10,3
0,0,0,850,4.1,50,3
1,0,1,550,5.3,54,3
0,0,0,450,5.1,9,3
9,2,11,1250,5,51,3
11,7,NA,2050,4.3,0,2
0,0,0,750,5.2,35,3
14,16,13,1850,3.8,57,3
5,4,NA,1950,5.5,2,2
2,2,5,950,4.9,42,3
0,0,0,550,5.8,18,3
14,13,NA,1850,4.6,12,2
25,23,13,1650,3.4,34,3
20,14,16,1350,4.5,68,3
3,5,5,1350,4.7,63,3
7,8,3,1250,3.2,48,3
18,18,24,1850,3.5,33,3
4,6,2,1150,5,90,3
0,0,0,450,5.4,33,3
5,3,NA,1950,5.2,0,2
4,2,1,1050,4,37,3
0,0,0,450,3.4,8,3
7,8,10,2050,4.7,36,3
9,9,6,1850,4.6,66,3
0,0,0,950,4.6,56,3
0,0,0,450,5.9,0,3
0,0,0,950,5,41,3
0,0,0,1050,7.7,63,3
7,4,NA,1950,5.5,0,2
2,3,2,1350,4.7,35,3
0,0,0,550,7.5,14,3
0,0,0,450,5.4,1,3
5,2,2,1450,4.5,27,3
0,0,0,2250,5.3,0,2
1,1,NA,1950,4.3,6,2
0,0,0,2350,4.2,0,2
1,0,NA,2050,3.9,1,2
12,10,4,1150,4.9,58,3
9,4,NA,2050,4.5,9,2
6,5,NA,2250,4.7,14,2
3,1,NA,2350,4.7,2,2
0,0,0,2250,4.2,0,2
7,1,3,2150,6.3,30,3
0,0,0,2250,5.2,0,2
1,0,NA,2350,2.9,0,2
5,4,1,1750,9.4,93,3
7,5,13,1850,5.5,82,3
13,15,15,1850,5.4,81,3
10,6,6,1850,4.7,82,3
0,0,0,2450,4.4,0,2
24,10,7,1850,5.6,69,3
2,8,4,1850,6.2,53,3
