count151,count152,count153,elev,route,forest,surveys
7,13,9,550,5.1,67,3
0,0,0,250,5.3,13,3
2,1,0,950,5.1,72,3
1,0,0,350,5,42,3
1,0,0,550,5.3,72,3
18,13,10,1350,3.7,79,3
0,0,0,250,5.5,47,3
4,3,3,2050,4.2,26,3
16,14,11,1150,6,56,3
3,4,3,1450,5.4,20,3
0,0,0,2050,3.2,0,2
7,5,NA,1950,5.4,18,2
13,5,5,1650,5,33,3
8,6,7,1550,3.3,21,3
20,9,17,1350,4,39,3
18,11,19,1150,5.3,69,3
10,4,7,850,6,42,3
11,6,12,650,5.5,19,3
7,6,9,550,5.8,98,3
6,2,4,1450,3.5,52,3
21,14,11,1350,3.8,90,3
12,10,9,1250,3.9,10,3
26,17,13,850,4.1,50,3
18,12,8,550,5.3,54,3
1,1,1,450,5.1,9,3
23,20,24,1250,5,51,3
1,0,NA,2050,4.3,0,2
20,15,18,750,5.2,35,3
12,8,15,1850,3.8,57,3
1,1,NA,1950,5.5,2,2
22,9,18,950,4.9,42,3
3,3,3,550,5.8,18,3
2,0,NA,1850,4.6,12,2
27,19,15,1650,3.4,34,3
53,32,31,1350,4.5,68,3
14,13,11,1350,4.7,63,3
25,19,16,1250,3.2,48,3
14,12,6,1850,3.5,33,3
39,33,23,1150,5,90,3
7,1,2,450,5.4,33,3
0,0,0,1950,5.2,0,2
12,5,11,1050,4,37,3
0,0,0,450,3.4,8,3
5,4,3,2050,4.7,36,3
10,15,22,1850,4.6,66,3
4,4,2,950,4.6,56,3
0,0,0,450,5.9,0,3
21,13,12,950,5,41,3
7,5,0,1050,7.7,63,3
0,0,0,1950,5.5,0,2
21,8,10,1350,4.7,35,3
1,4,3,550,7.5,14,3
0,0,0,450,5.4,1,3
40,16,12,1450,4.5,27,3
0,0,0,2250,5.3,0,2
2,4,NA,1950,4.3,6,2
0,0,0,2350,4.2,0,2
0,0,0,2050,3.9,1,2
71,37,38,1150,4.9,58,3
20,20,NA,2050,4.5,9,2
0,0,0,2250,4.7,14,2
0,0,0,2350,4.7,2,2
0,0,0,2250,4.2,0,2
10,10,5,2150,6.3,30,3
0,0,0,2250,5.2,0,2
0,0,0,2350,2.9,0,2
31,18,5,1750,9.4,93,3
23,10,18,1850,5.5,82,3
25,19,20,1850,5.4,81,3
25,18,11,1850,4.7,82,3
0,0,0,2450,4.4,0,2
72,48,27,1850,5.6,69,3
39,27,20,1850,6.2,53,3
